2017-07-31+00:14:33,0.0
2017-07-31+00:14:51,0.0
2017-07-31+00:15:09,0.0
2017-07-31+00:15:27,0.0
2017-07-31+00:15:45,0.0
2017-07-31+00:16:03,0.0
2017-07-31+00:16:21,0.0
2017-07-31+00:16:39,3.037111111111111
2017-07-31+00:16:57,3.7269444444444444
2017-07-31+00:17:15,2.807166666666667
2017-07-31+00:17:33,0.0
2017-07-31+00:17:51,0.0
2017-07-31+00:18:09,0.0
2017-07-31+00:18:27,0.0
2017-07-31+00:18:45,0.0
2017-07-31+00:19:03,0.0
2017-07-31+00:19:21,0.0
2017-07-31+00:19:39,0.0
2017-07-31+00:19:57,0.0
2017-07-31+00:20:15,0.0
2017-07-31+00:20:33,0.0
2017-07-31+00:20:51,0.0
2017-07-31+00:21:09,0.0
2017-07-31+00:21:28,0.0
2017-07-31+00:21:46,0.0
2017-07-31+00:22:04,0.0
2017-07-31+00:22:22,0.0
2017-07-31+00:22:40,0.0
2017-07-31+00:22:58,0.0
2017-07-31+00:23:16,0.0
2017-07-31+00:23:34,0.0
2017-07-31+00:23:52,0.0
2017-07-31+00:24:10,0.0
2017-07-31+00:24:28,0.0
2017-07-31+00:24:46,0.0
2017-07-31+00:25:04,0.0
2017-07-31+00:25:22,0.0
2017-07-31+00:25:40,0.0
2017-07-31+00:25:58,0.0
2017-07-31+00:26:16,0.0
2017-07-31+00:26:34,0.0
2017-07-31+00:26:52,0.0
2017-07-31+00:27:10,0.0
2017-07-31+00:27:28,0.0
2017-07-31+00:27:46,0.0
2017-07-31+00:28:04,0.0
2017-07-31+00:28:22,0.0
2017-07-31+00:28:40,0.0
2017-07-31+00:28:58,0.0
2017-07-31+00:29:16,0.0
2017-07-31+00:29:34,0.0
2017-07-31+00:29:52,0.0
2017-07-31+00:30:10,0.0
2017-07-31+00:30:28,0.0
2017-07-31+00:30:46,0.0
2017-07-31+00:31:04,0.0
2017-07-31+00:31:22,0.0
2017-07-31+00:31:40,0.0
2017-07-31+00:31:58,0.0
2017-07-31+00:32:16,0.0
2017-07-31+00:32:34,0.0
2017-07-31+00:32:52,0.0
2017-07-31+00:33:10,0.0
2017-07-31+00:33:29,0.0
2017-07-31+00:33:47,0.0
2017-07-31+00:34:05,0.0
2017-07-31+00:34:23,0.0
2017-07-31+00:34:41,0.0
2017-07-31+00:34:59,0.0
2017-07-31+00:35:17,0.0
2017-07-31+00:35:35,0.0
2017-07-31+00:35:53,0.0
2017-07-31+00:36:11,0.0
2017-07-31+00:36:29,0.0
2017-07-31+00:36:47,0.0
2017-07-31+00:37:05,0.0
2017-07-31+00:37:23,0.0
2017-07-31+00:37:41,0.0
2017-07-31+00:37:59,0.0
2017-07-31+00:38:17,0.0
2017-07-31+00:38:35,0.0
2017-07-31+00:38:53,0.0
2017-07-31+00:39:11,0.0
2017-07-31+00:39:29,0.0
2017-07-31+00:39:47,0.0
2017-07-31+00:40:05,0.0
2017-07-31+00:40:23,0.0
2017-07-31+00:40:41,0.0
2017-07-31+00:40:59,0.0
2017-07-31+00:41:17,0.0
2017-07-31+00:41:35,0.0
2017-07-31+00:41:53,0.0
2017-07-31+00:42:11,0.0
2017-07-31+00:42:29,0.0
2017-07-31+00:42:47,0.0
2017-07-31+00:43:05,0.0
